student,sample,conc,valid,amp,r2,sd,invert_check,mean_conc_dupl,,
0_00_00,AR17bht,0.23,TRUE,NA,NA,NA,,0.340,0.34,-0.468521083
0_00_00,AR17bht,0.45,TRUE,NA,NA,NA,,0.340,,
0_00_00,AR17cco,0.48,TRUE,NA,NA,NA,,0.240,0.24,-0.619788758
0_00_00,AR17cco,0,TRUE,NA,NA,NA,,0.240,,
0_00_00,AR17itg,0.52,TRUE,NA,NA,NA,,0.695,0.695,-0.158015195
0_00_00,AR17itg,0.87,TRUE,NA,NA,NA,,0.695,,
1_02_08,AR17itg,0.124299527,FALSE,23.16,0.989,1.26,Standard was inverted!,0.306,,
1_02_08,AR17itg,0.486828131,FALSE,23.16,0.989,1.26,Standard was inverted!,0.306,,
0_00_00,AR17jns,0.98,TRUE,NA,NA,NA,,0.490,0.49,-0.30980392
0_00_00,AR17jns,0,TRUE,NA,NA,NA,,0.490,,
0_00_00,AR17kzg,0.73,TRUE,NA,NA,NA,,0.365,0.365,-0.437707136
0_00_00,AR17kzg,0,TRUE,NA,NA,NA,,0.365,,
0_00_00,AR17ler,0.81,TRUE,NA,NA,NA,,1.310,1.31,0.117271296
0_00_00,AR17ler,1.81,TRUE,NA,NA,NA,,1.310,,
1_07_06,AR17ler,0.248026379,TRUE,20.02,0.986,0.11,Standard was inverted!,0.261,,
1_07_06,AR17ler,0.273169407,TRUE,20.02,0.986,0.11,Standard was inverted!,0.261,,
2_10_05,AR17ler,0.533843583,TRUE,20.98,1,0.39,,0.647,,
2_10_05,AR17ler,0.760376644,TRUE,20.98,1,0.39,,0.647,,
4_06_01,AR17ler,NA,FALSE,NA,0,2.81,Standard was inverted!,NA,,
4_06_01,AR17ler,NA,FALSE,NA,0,2.81,Standard was inverted!,NA,,
0_00_00,AR17mae,2.86,TRUE,NA,NA,NA,,3.290,3.29,0.517195898
0_00_00,AR17mae,3.72,TRUE,NA,NA,NA,,3.290,,
1_10_06,AR17mae,985.5207708,FALSE,24.57,0.999,0.28,,923.045,,
1_10_06,AR17mae,860.5687213,FALSE,24.57,0.999,0.28,,923.045,,
2_10_09,AR17mae,13.75259242,FALSE,28.26,0.988,1.92,,7.935,,
2_10_09,AR17mae,2.118009725,FALSE,28.26,0.988,1.92,,7.935,,
4_02_04,AR17mae,3.785141379,TRUE,20.66,1,0.06,,3.882,,
4_02_04,AR17mae,3.978514018,TRUE,20.66,1,0.06,,3.882,,
4_02_03,AR17mae,NA,FALSE,NA,0,0,,NA,,
4_02_03,AR17mae,NA,FALSE,NA,0,0,,NA,,
0_00_00,AR17ogm,0.41,TRUE,NA,NA,NA,,0.205,0.205,-0.688246139
0_00_00,AR17ogm,0,TRUE,NA,NA,NA,,0.205,,
0_00_00,AR17pgw,1.53,TRUE,NA,NA,NA,,2.210,2.21,0.344392274
0_00_00,AR17pgw,2.89,TRUE,NA,NA,NA,,2.210,,
1_06_07,AR17pgw,9.18E-05,FALSE,20.1,0.92,0.02,,0.000,,
1_06_07,AR17pgw,9.46E-05,FALSE,20.1,0.92,0.02,,0.000,,
3_03_08,AR17pgw,11.25565586,FALSE,20.78,1,0.33,,12.831,,
3_03_08,AR17pgw,14.40599303,FALSE,20.78,1,0.33,,12.831,,
4_07_01,AR17pgw,0.039248531,FALSE,23.36,0.995,1.73,,0.188,,
4_07_01,AR17pgw,0.337521413,FALSE,23.36,0.995,1.73,,0.188,,
0_00_00,AR17psm,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,AR17psm,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,AR17pxq,0.7,TRUE,NA,NA,NA,,0.900,0.9,-0.045757491
0_00_00,AR17pxq,1.1,TRUE,NA,NA,NA,,0.900,,
1_10_01,AR17pxq,11.35058266,TRUE,22.66,0.995,0,,5.675,,
1_10_01,AR17pxq,0,TRUE,22.66,0.995,0,,5.675,,
2_06_05,AR17pxq,0.149095109,TRUE,21.76,0.996,0.64,,0.208,,
2_06_05,AR17pxq,0.266582582,TRUE,21.76,0.996,0.64,,0.208,,
2_02_01,AR17pxq,0,TRUE,22.87,0.987,0,,0.000,,
2_02_01,AR17pxq,0,TRUE,22.87,0.987,0,,0.000,,
3_04_05,AR17pxq,0.233121695,FALSE,21.65,0.99,1.35,Standard was inverted!,0.493,,
3_04_05,AR17pxq,0.753539667,FALSE,21.65,0.99,1.35,Standard was inverted!,0.493,,
4_11_04,AR17pxq,1.035327791,FALSE,20.82,0.997,0.9,,0.743,,
4_11_04,AR17pxq,0.450066065,FALSE,20.82,0.997,0.9,,0.743,,
0_00_00,AR17qyz,0.42,TRUE,NA,NA,NA,,1.020,1.02,0.008600172
0_00_00,AR17qyz,1.62,TRUE,NA,NA,NA,,1.020,,
1_04_01,AR17qyz,2.202902107,TRUE,20.61,0.999,0.14,,2.096,,
1_04_01,AR17qyz,1.989695893,TRUE,20.61,0.999,0.14,,2.096,,
2_04_01,AR17qyz,0.8960376,TRUE,20.88,0.996,0,,0.448,,
2_04_01,AR17qyz,0,TRUE,20.88,0.996,0,,0.448,,
3_12_02,AR17qyz,22.68536647,FALSE,20.96,0.575,0.24,,21.076,,
3_12_02,AR17qyz,19.4663352,FALSE,20.96,0.575,0.24,,21.076,,
4_11_03,AR17qyz,28.40598599,FALSE,21.31,0.909,1.76,,57.158,,
4_11_03,AR17qyz,85.90977282,FALSE,21.31,0.909,1.76,,57.158,,
0_00_00,AR17rju,0.4,TRUE,NA,NA,NA,,0.200,0.2,-0.698970004
0_00_00,AR17rju,0,TRUE,NA,NA,NA,,0.200,,
0_00_00,AR17rmp,4.01,TRUE,NA,NA,NA,,4.100,4.1,0.612783857
0_00_00,AR17rmp,4.19,TRUE,NA,NA,NA,,4.100,,
2_03_08,AR17rmp,0.599744673,TRUE,20.99,0.986,0.58,,0.815,,
2_03_08,AR17rmp,1.029613433,TRUE,20.99,0.986,0.58,,0.815,,
1_10_02,AR17rmp,2.000065084,TRUE,22.43,0.999,0.06,,2.051,,
1_10_02,AR17rmp,2.101972117,TRUE,22.43,0.999,0.06,,2.051,,
4_06_05,AR17rmp,4.188135688,FALSE,20.95,0.987,1.58,,2.558,,
4_06_05,AR17rmp,0.927767519,FALSE,20.95,0.987,1.58,,2.558,,
0_00_00,AR17ryk,0.22,TRUE,NA,NA,NA,,0.110,0.11,-0.958607315
0_00_00,AR17ryk,0,TRUE,NA,NA,NA,,0.110,,
0_00_00,AR17tmb,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,AR17tmb,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,AR17tsp,0.63,TRUE,NA,NA,NA,,1.210,1.21,0.08278537
0_00_00,AR17tsp,1.79,TRUE,NA,NA,NA,,1.210,,
1_03_06,AR17tsp,43.0075524,FALSE,23.47,0.503,0,,21.504,,
1_03_06,AR17tsp,0,FALSE,23.47,0.503,0,,21.504,,
2_02_09,AR17tsp,0.325390752,TRUE,22.96,0.99,0.65,,0.247,,
2_02_09,AR17tsp,0.169216288,TRUE,22.96,0.99,0.65,,0.247,,
3_01_01,AR17tsp,0.710499589,TRUE,20.29,0.984,0.52,,0.580,,
3_01_01,AR17tsp,0.449768604,TRUE,20.29,0.984,0.52,,0.580,,
0_00_00,AR17uqs,3.55,TRUE,NA,NA,NA,,3.975,3.975,0.599337133
0_00_00,AR17uqs,4.4,TRUE,NA,NA,NA,,3.975,,
2_03_05,AR17uqs,0,TRUE,23.58,0.988,0,,0.611,,
2_03_05,AR17uqs,1.221947941,TRUE,23.58,0.988,0,,0.611,,
1_11_03,AR17uqs,6.70912192,FALSE,23.12,0.965,1.17,,4.506,,
1_11_03,AR17uqs,2.303675545,FALSE,23.12,0.965,1.17,,4.506,,
0_00_00,AR17uuv,1.7,TRUE,NA,NA,NA,,1.775,1.775,0.249198357
0_00_00,AR17uuv,1.85,TRUE,NA,NA,NA,,1.775,,
2_02_03,AR17uuv,2.173613583,TRUE,21.17,0.989,0.42,,2.636,,
2_02_03,AR17uuv,3.097697955,TRUE,21.17,0.989,0.42,,2.636,,
4_06_02,AR17uuv,11.32006745,FALSE,21.69,0.984,1.07,,18.320,,
4_06_02,AR17uuv,25.32027931,FALSE,21.69,0.984,1.07,,18.320,,
0_00_00,AR17voi,0.76,TRUE,NA,NA,NA,,1.050,1.05,0.021189299
0_00_00,AR17voi,1.34,TRUE,NA,NA,NA,,1.050,,
1_11_05,AR17voi,0.226275638,FALSE,22.7,0.981,1.48,,0.506,,
1_11_05,AR17voi,0.78631739,FALSE,22.7,0.981,1.48,,0.506,,
2_07_10,AR17voi,2.882811045,FALSE,23.99,0.363,1.18,,2.068,,
2_07_10,AR17voi,1.25223478,FALSE,23.99,0.363,1.18,,2.068,,
0_00_00,AR17vom,0,TRUE,NA,NA,NA,,0.000,0,-2
0_00_00,AR17vom,0,TRUE,NA,NA,NA,,0.000,,
0_00_00,AR17vqh,0.41,TRUE,NA,NA,NA,,0.205,0.205,-0.688246139
0_00_00,AR17vqh,0,TRUE,NA,NA,NA,,0.205,,
0_00_00,AR17vxr,0.17,TRUE,NA,NA,NA,,0.260,0.26,-0.585026652
0_00_00,AR17vxr,0.35,TRUE,NA,NA,NA,,0.260,,
0_00_00,AR17wic,0.87,TRUE,NA,NA,NA,,0.435,0.435,-0.361510743
0_00_00,AR17wic,0,TRUE,NA,NA,NA,,0.435,,
0_00_00,AR17wxz,0.36,TRUE,NA,NA,NA,,0.395,0.395,-0.403402904
0_00_00,AR17wxz,0.43,TRUE,NA,NA,NA,,0.395,,
0_00_00,AR17xkg,0.34,TRUE,NA,NA,NA,,0.415,0.415,-0.381951903
0_00_00,AR17xkg,0.49,TRUE,NA,NA,NA,,0.415,,
0_00_00,AR17xux,9.17,TRUE,NA,NA,NA,,9.495,9.495,0.977494969
0_00_00,AR17xux,9.82,TRUE,NA,NA,NA,,9.495,,
1_04_02,AR17xux,0.007471402,FALSE,19.77,0.899,0.69,,0.014,,
1_04_02,AR17xux,0.019645597,FALSE,19.77,0.899,0.69,,0.014,,
2_07_04,AR17xux,20.48715013,TRUE,21,0.995,0.97,,14.878,,
2_07_04,AR17xux,9.269703041,TRUE,21,0.995,0.97,,14.878,,
3_03_06,AR17xux,9.716528383,FALSE,NA,0.952,0.47,,11.782,,
3_03_06,AR17xux,13.8482863,FALSE,NA,0.952,0.47,,11.782,,
4_07_04,AR17xux,6.463132727,TRUE,21.06,0.998,0.73,,5.025,,
4_07_04,AR17xux,3.585976909,TRUE,21.06,0.998,0.73,,5.025,,
0_00_00,AR17yvv,2.59,TRUE,NA,NA,NA,,3.045,3.045,0.483587297
0_00_00,AR17yvv,3.5,TRUE,NA,NA,NA,,3.045,,
1_07_02,AR17yvv,1.631219266,TRUE,21.26,0.963,0.84,,1.185,,
1_07_02,AR17yvv,0.739402116,TRUE,21.26,0.963,0.84,,1.185,,
1_12_06,AR17yvv,0,TRUE,21.58,0.962,0,,0.000,,
1_12_06,AR17yvv,0,TRUE,21.58,0.962,0,,0.000,,
3_04_06,AR17yvv,4.115610661,TRUE,20.94,0.998,0.43,,3.468,,
3_04_06,AR17yvv,2.821060156,TRUE,20.94,0.998,0.43,,3.468,,
4_10_10,AR17yvv,3.628504022,TRUE,24.88,0.961,0.33,,4.321,,
4_10_10,AR17yvv,5.01290386,TRUE,24.88,0.961,0.33,,4.321,,
0_00_00,AR17zgd,2.13,TRUE,NA,NA,NA,,2.585,2.585,0.412460547
0_00_00,AR17zgd,3.04,TRUE,NA,NA,NA,,2.585,,
2_09_01,AR17zgd,34.16844094,TRUE,21.14,0.954,0,,34.219,,
2_09_01,AR17zgd,34.26868624,TRUE,21.14,0.954,0,,34.219,,
2_01_03,AR17zgd,0.833702052,TRUE,22.45,0.988,0.02,,0.842,,
2_01_03,AR17zgd,0.850509105,TRUE,22.45,0.988,0.02,,0.842,,
1_06_03,AR17zgd,5.324235983,TRUE,21.67,0.984,0.64,,7.098,,
1_06_03,AR17zgd,8.872431459,TRUE,21.67,0.984,0.64,,7.098,,
3_12_03,AR17zgd,6.868692168,TRUE,22.1,0.962,0.36,,5.916,,
3_12_03,AR17zgd,4.962844611,TRUE,22.1,0.962,0.36,,5.916,,
4_yy_yy,AR17zgd,6.67164827,TRUE,20.84,0.998,0.74,,5.127,,
4_yy_yy,AR17zgd,3.582127782,TRUE,20.84,0.998,0.74,,5.127,,
