stitle,accn,manually_added
"Proteus phage vB_PmiS-TH, complete genome",KY742649,TRUE
"Moraxella phage Mcat16, complete genome",KR093640,TRUE
"Choristoneura fumiferana granulovirus, complete genome",DQ333351,TRUE
"Shamonda virus N and NSs genes, segment S, genomic RNA, isolate Ib An 5550",NC_018464,TRUE
"BeAn 58058 virus, complete genome",KY094066,TRUE
"Zika virus isolate Pf13/251013-18, complete genome",KY766069,TRUE
"Dengue virus 1 isolate DENV1 BR/SJRP/484/2012, complete genome",KP188543,TRUE
"Vaccinia virus GLV-1h68, complete genome",EU410304,TRUE
"Simbu virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate SA Ar 53",NC_018476,TRUE
"Human immunodeficiency virus 2 proviral DNA, complete genome",D00835,TRUE
"Hepatitis E virus strain Kernow-C1, complete genome",HQ389544,TRUE
"Cerasus yedoensis Potyvirus isolate pt163-pot-22, complete genome",MT067623,TRUE
"Aedes japonicus narnavirus 1 isolate Ae.jap.NV1, complete genome",MK984721,TRUE
"Uncultured marine virus clone SOG02701, complete genome",JX904130,TRUE
"Cowpox virus strain CPXV/Boy Biederstein, complete genome",MK035746,FALSE
"Cowpox virus strain France Amiens 2016 genome assembly, complete genome: monopartite",LT883663,FALSE
"Cowpox virus strain CPXV/Cookie S963_15, complete genome",MK035754,FALSE
"Cowpox virus strain CPXV/Moritz 2015/3a, complete genome",MK035758,FALSE
"Cowpox virus isolate CPXV_K4207, complete genome",KY549150,FALSE
"Cowpox virus isolate Ger/2014/Human genome assembly, complete genome: monopartite",LT993226,FALSE
"Cowpox virus strain CPXV/Boa Marl, complete genome",MK035748,FALSE
"Cowpox virus strain CPXV/Sammy 2015/4a, complete genome",MK035752,FALSE
"Cowpox virus strain CPXV/Leo 2015/5, complete genome",MK035756,FALSE
"Cowpox virus isolate Ger/2017/Alpaca1 genome assembly, complete genome: monopartite",LT993230,FALSE
"Cowpox virus strain CPXV/S2216/04, complete genome",MK035751,FALSE
"Cowpox virus isolate Ger/2015/Prairie-dog genome assembly, complete genome: monopartite",LT993231,FALSE
"Cowpox virus strain CPXV/75/01, complete genome",MK035755,FALSE
"Cowpox virus isolate Ger/2015/Human2 genome assembly, complete genome: monopartite",LT993232,FALSE
"Cowpox virus strain CPXV/Rat Koelle, complete genome",MK035757,FALSE
"Cowpox virus strain CPXV/Cepad 332, complete genome",MK035759,FALSE
"Cowpox virus isolate Ger/2017/Alpaca2 genome assembly, complete genome: monopartite",LT896732,FALSE
"Cowpox virus strain CPXV/Rat Marl, complete genome",MK035747,FALSE
"Cowpox virus isolate Ger/2017/common vole FMEimka genome assembly, complete genome: monopartite",LT993228,FALSE
"Cowpox virus strain CPXV/Rat Biederstein, complete genome",MK035749,FALSE
"Cowpox virus strain CPXV/Cepad 333, complete genome",MK035753,FALSE
"Cowpox virus strain CPXV/Compiegne 2009, complete genome",MK035750,FALSE
"Cowpox virus strain France_2001_Nancy, complete genome",HQ420894,FALSE
"Cowpox virus strain RatKre08/2, complete genome",KC813505,FALSE
"Cowpox virus strain Kostroma_2015, complete genome",KY369926,FALSE
"Cowpox virus isolate CPXV_1639, complete genome",KY549148,FALSE
"Cowpox virus strain HumPad07/1, complete genome",KC813496,FALSE
"Cowpox virus strain RatHei09/1, complete genome",KC813504,FALSE
"Cowpox virus, complete genome",NC_003663,FALSE
"Cowpox virus isolate Ger/2015/Cat4 genome assembly, complete genome: monopartite",LT896731,FALSE
"Cowpox virus strain CPXV CheHurley_DK_2012, complete genome",KY569018,FALSE
"Cowpox virus strain Brighton Red, complete genome",AF482758,FALSE
"Cowpox virus strain Germany_1971_EP1, complete genome",KY463519,FALSE
"Cowpox virus strain Germany 91-3, complete genome",DQ437593,FALSE
"Cowpox virus strain UK2000_K2984, complete genome",HQ420900,FALSE
"Cowpox virus isolate Ger/2010/Rat genome assembly, complete genome: monopartite",LT896728,FALSE
"Cowpox virus strain GRI-90, complete genome",X94355,FALSE
"Cowpox virus strain JagKre08/1, complete genome",KC813497,FALSE
"Cowpox virus isolate CPXV_Catpox3L97, complete genome",KY549143,FALSE
"Cowpox virus strain Norway_1994_MAN, complete genome",HQ420899,FALSE
"Cowpox virus strain MonKre08/4, complete genome",KC813500,FALSE
"Cowpox virus strain CatBer07/1, complete genome",KC813502,FALSE
"Cowpox virus strain Germany_1998_2, complete genome",HQ420897,FALSE
"Cowpox virus strain HumGri07/1, complete genome",KC813511,FALSE
"Cowpox virus strain CPXV CheNuru_DK_2012, complete genome",KY569020,FALSE
"Cowpox virus isolate Norwayfeline, complete genome",KY549151,FALSE
"Cowpox virus strain CPXV CheTopCut_DK_2011, complete genome",KY569022,FALSE
"Cowpox virus isolate Ger/2013/Alpaca genome assembly, complete genome: monopartite",LT896719,FALSE
"Cowpox virus isolate Ger/2010/Alpaca genome assembly, complete genome: monopartite",LT896718,FALSE
"Cowpox virus isolate CPXV_K2739, complete genome",KY549149,FALSE
"Vaccinia virus isolate CEyV1, complete genome",MG012795,FALSE
"Vaccinia virus strain Tashkent clone TKT4, complete genome",KM044310,FALSE
"Vaccinia virus strain LC16mO, complete genome",AY678277,FALSE
"Vaccinia virus isolate Cantagalo virus CM01, complete genome",KT013210,FALSE
"Vaccinia virus, complete genome",KF179385,FALSE
"Vaccinia virus strain DUKE, complete genome",DQ439815,FALSE
"Vaccinia virus strain L-IVP, complete genome",KP233807,FALSE
"Vaccinia virus strain Lister, complete genome",KX061501,FALSE
"Variola virus strain United Kingdom 1946 Harvey, complete genome",DQ441444,FALSE
"Variola virus strain Somalia 1977 (V77-1252), complete genome",DQ441438,FALSE
"Variola virus strain Sudan 1947 (Juba), complete genome",DQ441440,FALSE
"Variola virus strain Botswana 1972 (v72-143), complete genome",DQ441417,FALSE
"Variola virus strain United Kingdom 1947 Higgins (Staffordshire), complete genome",DQ441446,FALSE
"Variola virus strain Somalia 1977, complete genome",DQ437590,FALSE
"Variola virus strain Botswana 1973 (v73-225), complete genome",DQ441418,FALSE
"Variola virus strain Japan 1951 (Stillwell, Masterseed), complete genome",DQ441431,FALSE
"Variola virus strain India 1964 7125 Vellore, complete genome",DQ437586,FALSE
"Variola virus strain Iran 1972 2602 Tabriz, complete genome",DQ437587,FALSE
"Variola virus strain India 1953 (Kali-Muthu-M50 Madras), complete genome",DQ441427,FALSE
"Variola virus strain Tanzania 1965 kembula, complete genome",DQ441443,FALSE
"Variola virus strain Congo 9 1970 (v74-227 Gispen), complete genome",DQ441423,FALSE
Variola virus DNA complete genome,X69198,FALSE
"Variola virus strain China Horn 1948, complete genome",DQ437582,FALSE
"Variola virus strain India 1964 7124 Vellore, complete genome",DQ437585,FALSE
"Variola virus strain Bangladesh 1974 (Solaiman), complete genome",DQ441422,FALSE
"Variola virus strain Nepal 1973, complete genome",DQ437588,FALSE
"Variola virus strain Ethiopia 1972 (Eth16 R14-1X-72 Addis), complete genome",DQ441424,FALSE
"Variola virus strain Bangladesh 1974 (nur islam), complete genome",DQ441420,FALSE
"Myxoma virus isolate MYXV_tol_Lag06_V, complete genome",MT072320,FALSE
"Myxoma virus isolate Aust/ACT/Mulligans Flat/04-2013/1, complete genome",MK388095,FALSE
"Myxoma virus isolate Toledo, complete genome",MK836424,FALSE
"Myxoma virus isolate MYXV_tol_Lag07_EL, complete genome",MT072318,FALSE
"Myxoma virus isolate MYXV_tol_Lag07_ear, complete genome",MT072319,FALSE
"Myxoma virus isolate MYXV_tol_Lag06_ear, complete genome",MT072322,FALSE
"Felid alphaherpesvirus 1 strain WASH_03, complete genome",MH070345,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-169, complete genome",MH709352,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-069, complete genome",MH709342,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-143, complete genome",MH709349,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-225, complete genome",MH709361,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-525, complete genome",MH709338,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-212, complete genome",MH709317,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-238, complete genome",MH709362,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-378, complete genome",MH709329,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-070, complete genome",MH709343,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-078, complete genome",MH709345,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-204, complete genome",MH709357,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-260, complete genome",MH709323,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-013, complete genome",MH709309,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-352, complete genome",MH709327,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-418, complete genome",MH709333,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-128, complete genome",MH709347,FALSE
"Human alphaherpesvirus 3 strain YC02, complete genome",MF004348,FALSE
"Human alphaherpesvirus 3 strain Baike, complete genome",MF898328,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-150, complete genome",MH709350,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-103, complete genome",MH709346,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-158, complete genome",MH709351,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-344, complete genome",MH709374,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-176, complete genome",MH709315,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-145, complete genome",MH709314,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-198, complete genome",MH709316,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-216, complete genome",MH709318,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-389, complete genome",MH709330,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-444, complete genome",MH709336,FALSE
"Human herpesvirus 3 strain VZVs/Pasadena.USA/48.12/Z[2], complete genome",KF811485,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-034, complete genome",MH709310,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-329, complete genome",MH709326,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-251, complete genome",MH709322,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-174, complete genome",MH709353,FALSE
"Human herpesvirus 3 strain VariVax, complete genome",DQ008355,FALSE
"Human alphaherpesvirus 3 isolate KPZ12-320, complete genome",MH709325,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-221, complete genome",MH709360,FALSE
"Human herpesvirus 3 strain LAX1, complete genome",JQ972914,FALSE
"Human alphaherpesvirus 3 isolate KPZ13-179, complete genome",MH709355,FALSE
"Human herpesvirus 3 clone VarilrixI, complete genome",KU926313,FALSE
