category	reads	sample	run
raw_reads	134649	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	30517	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
low_entropy	125	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
low_quality	4	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
passing_filter	104003	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	1124	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
matching_bact1	1736	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
matching_bact2	265	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
matching_bact3	661	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
matching_fungi1	6	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	4	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
reads_to_blast	100207	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
viral_reads	9	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
undetermined_reads	100198	NTC-RNA_S10	180209_M01274_0205_000000000-BHDFY
raw_reads	1053604	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
trimmed_too_short	71515	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
low_entropy	24787	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
low_quality	6	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
passing_filter	957296	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
matching_humanGRCh38	734511	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
matching_bact1	51614	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
matching_bact2	1024	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
matching_bact3	3702	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
matching_fungi1	0	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
matching_bt_ref	67770	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
reads_to_blast	98675	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
viral_reads	174	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
undetermined_reads	98501	1000247089-AR-DNA_S2	180209_M01274_0205_000000000-BHDFY
